DATE,EMPLOYAZ
2003-10-01,2493500
2004-01-01,2526500
2004-04-01,2552400
2004-07-01,2587300
2004-10-01,2619200
2005-01-01,2630700
2005-04-01,2645900
2005-07-01,2658500
2005-10-01,2673000
2006-01-01,2710100
2006-04-01,2750400
2006-07-01,2798700
2006-10-01,2844400
2007-01-01,2875500
2007-04-01,2902200
2007-07-01,2923100
2007-10-01,2929600
2008-01-01,2937400
2008-04-01,2932300
2008-07-01,2931700
2008-10-01,2948500
2009-01-01,2934800
2009-04-01,2914000
2009-07-01,2883900
2009-10-01,2844300
2010-01-01,2829500
2010-04-01,2833700
2010-07-01,2845300
2010-10-01,2845900
2011-01-01,2842200
2011-04-01,2845500
2011-07-01,2828200
2011-10-01,2825100
2012-01-01,2806100
2012-04-01,2790400
2012-07-01,2775600
2012-10-01,2763500
2013-01-01,2776400
2013-04-01,2764400
2013-07-01,2763400
2013-10-01,2764800
2014-01-01,2776300
2014-04-01,2803000
2014-07-01,2823800
2014-10-01,2869200
2015-01-01,2903200
2015-04-01,2933600
2015-07-01,2957300
2015-10-01,2964000
2016-01-01,2995400
2016-04-01,3011000
2016-07-01,3038700
2016-10-01,3068400
2017-01-01,3084600
2017-04-01,3103300
2017-07-01,3128900
2017-10-01,3142100
2018-01-01,3153800
2018-04-01,3167100
2018-07-01,3205600
2018-10-01,3249900
2019-01-01,3276100
2019-04-01,3330100
2019-07-01,3350100
2019-10-01,3373500
2020-01-01,3409600
2020-04-01,3351000
2020-07-01,3319900
2020-10-01,3290600
2021-01-01,3269600
2021-04-01,3348200
2021-07-01,3422000
2021-10-01,3496500
2022-01-01,3508500
2022-04-01,3505300
2022-07-01,3494600
