DATE,TXTAST
1984-01-01,181855061
1984-04-01,186096103
1984-07-01,189836991
1984-10-01,197881449
1985-01-01,198379278
1985-04-01,200532256
1985-07-01,201287766
1985-10-01,209027575
1986-01-01,203802220
1986-04-01,202575567
1986-07-01,202715839
1986-10-01,207672535
1987-01-01,202349623
1987-04-01,195565880
1987-07-01,190243754
1987-10-01,189564194
1988-01-01,185119722
1988-04-01,181291078
1988-07-01,173102344
1988-10-01,172109606
1989-01-01,169376420
1989-04-01,168751138
1989-07-01,166629707
1989-10-01,174909095
1990-01-01,170909940
1990-04-01,170892152
1990-07-01,169490497
1990-10-01,171401593
1991-01-01,167254171
1991-04-01,168512240
1991-07-01,171646120
1991-10-01,169202301
1992-01-01,169615607
1992-04-01,169274909
1992-07-01,172204019
1992-10-01,175508137
1993-01-01,176859437
1993-04-01,179332187
1993-07-01,183215524
1993-10-01,183976067
1994-01-01,185235327
1994-04-01,181769516
1994-07-01,181942387
1994-10-01,188088706
1995-01-01,189627770
1995-04-01,194164476
1995-07-01,195980006
1995-10-01,202718039
1996-01-01,203830524
1996-04-01,201461017
1996-07-01,201915091
1996-10-01,205184036
1997-01-01,205878068
1997-04-01,210681132
1997-07-01,223245998
1997-10-01,235098128
1998-01-01,240835624
1998-04-01,180145766
1998-07-01,178491224
1998-10-01,179575873
1999-01-01,176750300
1999-04-01,173830625
1999-07-01,175995582
1999-10-01,181144214
2000-01-01,183154872
2000-04-01,183519242
2000-07-01,162007636
2000-10-01,166351766
2001-01-01,136212314
2001-04-01,137727246
2001-07-01,140654398
2001-10-01,144677068
2002-01-01,144204919
2002-04-01,146514436
2002-07-01,151220908
2002-10-01,157396029
2003-01-01,158570349
2003-04-01,157641843
2003-07-01,159190899
2003-10-01,136451478
2004-01-01,139942740
2004-04-01,143958082
2004-07-01,147233210
2004-10-01,151466947
2005-01-01,159199025
2005-04-01,161748026
2005-07-01,165327820
2005-10-01,173165122
2006-01-01,173517283
2006-04-01,176007961
2006-07-01,179380637
2006-10-01,181855430
2007-01-01,184307624
2007-04-01,184734351
2007-07-01,191131902
2007-10-01,261543720
2008-01-01,255467959
2008-04-01,258217706
2008-07-01,261530114
2008-10-01,273427327
2009-01-01,277503583
2009-04-01,272247693
2009-07-01,273056829
2009-10-01,316446351
2010-01-01,313169045
2010-04-01,314588867
2010-07-01,312517807
2010-10-01,312079484
2011-01-01,308413323
2011-04-01,305102387
2011-07-01,316620196
2011-10-01,330016795
2012-01-01,337618649
2012-04-01,338466866
2012-07-01,345972087
2012-10-01,362159618
2013-01-01,356107407
2013-04-01,356293163
2013-07-01,352707150
2013-10-01,355326156
2014-01-01,358365535
2014-04-01,367536151
2014-07-01,352784118
2014-10-01,363521555
2015-01-01,368110887
2015-04-01,367677610
2015-07-01,371529601
2015-10-01,364324009
2016-01-01,363318097
2016-04-01,368135861
2016-07-01,376401399
2016-10-01,376992042
2017-01-01,378725944
2017-04-01,381491587
2017-07-01,387260045
2017-10-01,392708386
2018-01-01,390312549
2018-04-01,396171334
2018-07-01,396364099
2018-10-01,399878034
2019-01-01,405711360
2019-04-01,411640802
2019-07-01,421325663
2019-10-01,427337046
2020-01-01,441327746
2020-04-01,485454404
2020-07-01,498320031
